,tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
0,Computer Science,4002,Vanderbilt University,Waseem,,Abbas,2522286,19,good,TEACHER,PROFESSOR,4.6
1,Biology,4002,Vanderbilt University,Patrick,,Abbot,576773,32,good,TEACHER,PROFESSOR,4.3
2,Languages,4002,Vanderbilt University,Jacob,,Abell,2185295,3,good,TEACHER,PROFESSOR,5.0
3,Languages,4002,Vanderbilt University,Trozenski,,Abigail,2569568,0,zero,TEACHER,PROFESSOR,N/A
4,Engineering,4002,Vanderbilt University,Mark,,Abkowitz,689793,2,good,TEACHER,PROFESSOR,4.8
5,Engineering,4002,Vanderbilt University,Ghina,,Absi,2645434,1,good,TEACHER,PROFESSOR,5.0
6,English,4002,Vanderbilt University,Chad,,Abushanab,1634237,3,good,TEACHER,PROFESSOR,4.0
7,Mathematics,4002,Vanderbilt University,Roza,,Aceska,1783873,6,poor,TEACHER,PROFESSOR,2.0
8,Women's Studies,4002,Vanderbilt University,Brooke,,Ackerley,2561593,0,zero,TEACHER,PROFESSOR,N/A
9,Political Science,4002,Vanderbilt University,Brooke,,Ackerly,392888,48,average,TEACHER,PROFESSOR,2.7
10,Chemistry,4002,Vanderbilt University,Dorothy,,Ackerman,2128061,1,good,TEACHER,PROFESSOR,4.0
11,Jewish Studies,4002,Vanderbilt University,Phillip,I,Ackerman-Lieberman,1880032,7,average,TEACHER,PROFESSOR,3.1
12,Music,4002,Vanderbilt University,Billy,,Adair,1808083,1,good,TEACHER,PROFESSOR,5.0
13,Computer Science,4002,Vanderbilt University,Julie,,Adams,326023,8,average,TEACHER,PROFESSOR,2.9
14,Engineering,4002,Vanderbilt University,Douglas,,Adams,2191106,10,good,TEACHER,PROFESSOR,4.6
15,Philosophy,4002,Vanderbilt University,Geoffrey,,Adelsberg,2002173,2,good,TEACHER,PROFESSOR,3.5
16,Women's Studies,4002,Vanderbilt University,Melanie,,Adley,2057849,1,good,TEACHER,PROFESSOR,5.0
17,Chemistry,4002,Vanderbilt University,Peter,Harry,Adrid,2613742,3,good,TEACHER,PROFESSOR,4.0
18,Human Development,4002,Vanderbilt University,Saydolimkhon,,Agzamkhodjaev,2583994,2,good,TEACHER,PROFESSOR,5.0
19,Philosophy,4002,Vanderbilt University,Patrick,,Ahern,779323,12,average,TEACHER,PROFESSOR,3.3
20,Music Performance,4002,Vanderbilt University,Okyerema,,Ahima,2271980,0,zero,TEACHER,PROFESSOR,N/A
21,Music,4002,Vanderbilt University,Gyane,K.,Ahima,2582405,1,good,TEACHER,PROFESSOR,5.0
22,Philosophy,4002,Vanderbilt University,Sabeen,,Ahmed,2165837,4,good,TEACHER,PROFESSOR,5.0
23,Mathematics,4002,Vanderbilt University,John,,Ahner,135194,52,average,TEACHER,PROFESSOR,3.1
24,Mathematics,4002,Vanderbilt University,Valeriano,,Aiello,2346831,7,good,TEACHER,PROFESSOR,3.5
25,Philosophy,4002,Vanderbilt University,Scott,,Aikin,772978,33,good,TEACHER,PROFESSOR,4.8
26,Film,4002,Vanderbilt University,William,,Akers,264177,14,good,TEACHER,PROFESSOR,4.5
27,Accounting,4002,Vanderbilt University,Serkan,,Akguc,1236964,16,good,TEACHER,PROFESSOR,4.1
28,Languages,4002,Vanderbilt University,Fahad,,Al-Shehri,1488562,3,good,TEACHER,PROFESSOR,3.7
29,Business,4002,Vanderbilt University,Yasin,,Alan,2136859,0,zero,TEACHER,PROFESSOR,N/A
30,Science,4002,Vanderbilt University,Royal,,Albridge,69299,48,poor,TEACHER,PROFESSOR,2.3
31,Management,4002,Vanderbilt University,Tawn,,Albright,1889748,5,good,TEACHER,PROFESSOR,4.8
32,Mathematics,4002,Vanderbilt University,Akram,,Aldroubi,95983,38,good,TEACHER,PROFESSOR,4.2
33,Philosophy,4002,Vanderbilt University,Alexandra,,Alekseyeva,2071176,6,good,TEACHER,PROFESSOR,3.8
34,Political Science,4002,Vanderbilt University,Klint,,Alexander,554388,41,good,TEACHER,PROFESSOR,4.1
35,English,4002,Vanderbilt University,Michael,,Alijewicz,1350993,9,good,TEACHER,PROFESSOR,3.7
36,Philosophy,4002,Vanderbilt University,Lana,,Allen,1754142,1,poor,TEACHER,PROFESSOR,1.0
37,Engineering,4002,Vanderbilt University,Michael,,Alles,1138504,2,good,TEACHER,PROFESSOR,3.8
38,Languages,4002,Vanderbilt University,Frances,,Alpren,740246,25,average,TEACHER,PROFESSOR,3.3
39,Languages,4002,Vanderbilt University,Alana,,Alvarez,1733135,3,good,TEACHER,PROFESSOR,4.8
40,Languages,4002,Vanderbilt University,Carlos,J,Amado,2130555,2,good,TEACHER,PROFESSOR,4.5
41,Computer Science,4002,Vanderbilt University,Shilo,,Anders,2582826,0,zero,TEACHER,PROFESSOR,N/A
42,Economics,4002,Vanderbilt University,Kathryn,,Anderson,743789,18,average,TEACHER,PROFESSOR,2.8
43,Computer Science,4002,Vanderbilt University,Clifford,B,Anderson,2454695,2,average,TEACHER,PROFESSOR,3.0
44,Economics,4002,Vanderbilt University,Ana,,Andrade,397790,39,average,TEACHER,PROFESSOR,3.0
45,Mathematics,4002,Vanderbilt University,Simon,,Andre,2584814,6,good,TEACHER,PROFESSOR,4.2
46,Health Science,4002,Vanderbilt University,Lindsey,,Andrews,1841987,3,good,TEACHER,PROFESSOR,4.0
47,Nursing,4002,Vanderbilt University,Susan,,Andrews,2362968,2,average,TEACHER,PROFESSOR,3.0
48,Engineering,4002,Vanderbilt University,Amrutur,,Anilkumar,1470765,9,average,TEACHER,PROFESSOR,3.1
49,Political Science,4002,Vanderbilt University,Allison,,Anoll,2170405,6,good,TEACHER,PROFESSOR,4.8
50,Mathematics,4002,Vanderbilt University,Yago,,Antolin Pichel,1892618,14,average,TEACHER,PROFESSOR,3.4
51,Philosophy,4002,Vanderbilt University,Alejandro,,Arango Vargas,1781346,6,poor,TEACHER,PROFESSOR,1.5
52,Computer Science,4002,Vanderbilt University,Daniel,,Arena,2197326,116,good,TEACHER,PROFESSOR,4.9
53,Languages,4002,Vanderbilt University,Patricia,,Armstrong,604890,8,good,TEACHER,PROFESSOR,4.7
54,Mathematics,4002,Vanderbilt University,Jonathan,,Ashbrock,2442343,2,good,TEACHER,PROFESSOR,3.5
55,Languages,4002,Vanderbilt University,Alexandra,,Astier,2248581,1,good,TEACHER,PROFESSOR,5.0
56,Economics,4002,Vanderbilt University,Jeremy,,Atack,377917,26,average,TEACHER,PROFESSOR,2.9
57,Political Science,4002,Vanderbilt University,Carol,,Atkinson,1306536,13,average,TEACHER,PROFESSOR,3.3
58,Mathematics,4002,Vanderbilt University,Scott,,Atkinson,2180354,10,good,TEACHER,PROFESSOR,4.2
59,Ethnic Studies,4002,Vanderbilt University,James,,Auer,354532,11,good,TEACHER,PROFESSOR,4.3
60,English,4002,Vanderbilt University,Pavneet,,Aulakh,1957804,19,good,TEACHER,PROFESSOR,4.3
61,Not Specified,4002,Vanderbilt University,Michael,,Aurbach,353509,6,good,TEACHER,PROFESSOR,4.4
62,Sociology,4002,Vanderbilt University,Noel,,Austin,742399,5,good,TEACHER,PROFESSOR,3.9
63,English,4002,Vanderbilt University,Thea,,Autry,2419726,1,good,TEACHER,PROFESSOR,5.0
64,Geology,4002,Vanderbilt University,John,,Ayers,612571,7,good,TEACHER,PROFESSOR,4.0
